Index,Median_timeDelay,StandardDev_timeDelay,Skew_timeDelay,kurtosis_timeDelay,StandardDeviation_payDifference,Loan_Ratio,Difference_Applied_Dates,Ratio_Proposal_Lengths,FirstLoan_FirstInstallment_timeDifference,Amount_First_Loan_usd,lender_interest_rate,Days_between_Application_Distribution
26,-7,11.07474605,0,0,0,1.86,108,0.714539007,200,100,0,16
27,-4.5,5.033222957,-0.438527112,-1.015086651,0,2.32,142,1.212458287,0,100,0,9
28,1,5.573747991,-0.528314948,-0.50308534,0,2,71,1.004750594,-8,100,0,22
29,1,5.573747991,-0.528314948,-0.50308534,0,2,71,1.004750594,0,100,0,22
30,-1,5.750319684,1.304345233,0.621852638,0,1.98,125,1.44149766,-1,100,0,4
31,0.5,3.728270376,0.760975936,-0.254334662,0,2,67,1.716374269,0,100,0,22
32,-2.5,6.523309852,-0.93278961,-0.366530726,0,2.7,51,1.311163895,-1,50,0,6
33,-2.5,6.523309852,-0.93278961,-0.366530726,0,2.7,51,1.311163895,1,50,0,6
34,0,2.808999144,0.621569957,3.050248775,0,2.14,154,0.716253444,0,100,0,3
35,0,0,0,-3,0,2.152173913,74,1,0,92,0,20
36,-50.5,77.27778713,-0.42390005,-1.188541249,0,0.9,143,0.712609971,0,50,0,14
37,-50.5,77.27778713,-0.42390005,-1.188541249,0,0.9,143,0.712609971,0,50,0,14
38,-50.5,77.27778713,-0.42390005,-1.188541249,0,0.9,143,0.712609971,1,50,0,14
39,-50.5,77.27778713,-0.42390005,-1.188541249,0,0.9,143,0.712609971,1,50,0,14
40,-50.5,77.27778713,-0.42390005,-1.188541249,0,0.9,143,0.712609971,0,50,0,14
41,-50.5,77.27778713,-0.42390005,-1.188541249,0,0.9,143,0.712609971,0,50,0,14
42,-50.5,77.27778713,-0.42390005,-1.188541249,0,0.9,143,0.712609971,1,50,0,14
43,-50.5,77.27778713,-0.42390005,-1.188541249,0,0.9,143,0.712609971,1,50,0,14
44,-50.5,77.27778713,-0.42390005,-1.188541249,0,0.9,143,0.712609971,0,50,0,14
45,-50.5,77.27778713,-0.42390005,-1.188541249,0,0.9,143,0.712609971,0,50,0,14
46,-50.5,77.27778713,-0.42390005,-1.188541249,0,0.9,143,0.712609971,1,50,0,14
47,-50.5,77.27778713,-0.42390005,-1.188541249,0,0.9,143,0.712609971,1,50,0,14
48,-50.5,77.27778713,-0.42390005,-1.188541249,0,0.9,143,0.712609971,0,50,0,14
49,-50.5,77.27778713,-0.42390005,-1.188541249,0,0.9,143,0.712609971,0,50,0,14
50,-50.5,77.27778713,-0.42390005,-1.188541249,0,0.9,143,0.712609971,1,50,0,14
51,-50.5,77.27778713,-0.42390005,-1.188541249,0,0.9,143,0.712609971,1,50,0,14
52,0,15.91531028,-0.750707041,0.276032871,0,1.84,150,1.300578035,3,50,0,16
53,0,15.91531028,-0.750707041,0.276032871,0,1.84,150,1.300578035,3,50,0,16
54,0,15.91531028,-0.750707041,0.276032871,0,1.84,150,1.300578035,-3,50,0,16
55,0,15.91531028,-0.750707041,0.276032871,0,1.84,150,1.300578035,-3,50,0,16
56,0,15.91531028,-0.750707041,0.276032871,0,1.84,150,1.300578035,3,50,0,16
57,0,15.91531028,-0.750707041,0.276032871,0,1.84,150,1.300578035,3,50,0,16
58,0,15.91531028,-0.750707041,0.276032871,0,1.84,150,1.300578035,-3,50,0,16
59,0,15.91531028,-0.750707041,0.276032871,0,1.84,150,1.300578035,-3,50,0,16
60,0,0,0,-3,0,1.62,145,1.373563218,0,100,0,20
61,-32,30.8515546,-0.387700979,-1.253065514,0,1.46,70,0.878130217,-2,100,0,17
62,-32,30.8515546,-0.387700979,-1.253065514,0,1.46,70,0.878130217,-9,100,0,17
63,-32,30.8515546,-0.387700979,-1.253065514,0,1.46,70,0.878130217,-2,100,0,17
64,-32,30.8515546,-0.387700979,-1.253065514,0,1.46,70,0.878130217,-9,100,0,17
65,-7,5,-0.490024999,0.1041,0,1,76,2.241116751,-7,50,0.42,2
66,-7,5,-0.490024999,0.1041,0,1,76,2.241116751,-5,50,0.42,2
67,6,9.818350167,0,0,0,1,182,1.37254902,1,100,0,11
68,6,9.818350167,0,0,0,1,182,1.37254902,5,100,0,11
69,-31.5,73.99445904,-0.805803262,-0.406410063,0,0.880530973,448,3.496323529,-6,452,2.2,3
